lat;lon;x;y;z;val;dqc;
 59.0438;5.68638;-532064;-401650;23;16.3;0;
 65.0738;25.4034;485738;270025;7;16.9;0;
 60.6167;12.0121;-163092;-261296;205;25.5;0;
 55.9988;12.9604;-127691;-778315;77;17.8;0;
 60.1717;24.6286;531185;-274775;42;22.3;0;
 60.1209;10.8526;-229864;-312858;217;21.2;0;
 58.898;9.29034;-328333;-441913;98;16.9;0;
 59.2069;10.946;-231108;-414785;10;19.6;0;
 58.9382;5.68294;-533959;-413268;NA;15.7;1;
 59.6725;10.2488;-266957;-360337;83;17.7;0;
 55.6039;11.1845;-241396;-817411;27;19.1;0;
 62.0533;12.3293;-139153;-102383;663;22.6;5;
 55.3109;12.2014;-178537;-853533;17;18;0;
 59.9245;10.7603;-236413;-334344;23;23.4;0;
 59.3852;5.2982;-548357;-360762;2.48767;21.1;4;
 60.8623;11.5792;-185247;-232827;203;21.4;0;
 60.7434;24.6492;522800;-211688;118;16.8;0;
 60.157;24.9387;548410;-273789;16;19.8;0;
 59.3435;18.0919;175578;-402631;30;23.6;0;
 58.6219;11.2933;-215089;-481080;9;16.2;0;
 58.7865;5.60391;-540918;-429339;36;15.2;0;
 63.3915;10.4142;-228200;51673;93;21.9;0;
 60.7183;10.6078;-238873;-245618;319;22.4;0;
 58.2782;8.4158;-385523;-505859;37;17;0;
 59.6064;16.2149;68459;-376919;36;23.8;0;
 56.1787;15.6418;39986;-760000;6;16.8;0;
 60.3592;6.07779;-489589;-259726;NA;19;1;
 59.2364;9.62325;-306085;-405982;98;15.2;0;
 58.8716;5.58771;-540460;-419817;31;14.2;0;
 61.5156;9.77763;-276735;-153833;873;19;0;
 56.2323;10.7488;-264275;-745461;15;20;0;
 60.5239;9.03508;-326197;-260274;NA;14.1;1;
 59.3821;17.9556;167646;-398699;31;22.9;0;
 60.6699;17.1736;118464;-257163;10;15.8;0;
 59.3399;18.0071;170785;-403260;7;24.4;4;
 60.4964;15.4324;23701;-278395;137;17;0;
 59.4114;13.6641;-75728;-398501;64;25.3;0;
